card,week1,week2,week3,week4,week5
Skeletons,3378,3543,3683,3713,3718
Ice Spirit,3058,3346,3460,3550,3595
Goblins,2969,3088,3119,3241,3434
Zap,2748,2764,2748,2740,2829
Spear Goblins,2691,2740,2781,2865,2953
Fire Spirits,2889,3020,3074,3193,3241
Knight,2878,2997,3107,3147,3220
Archers,2737,2807,3225,3661,4020
Minions,2682,2796,2880,3587,4367
Arrows,2763,2892,3098,3228,3341
Bomber,2943,2995,3100,3238,3304
Cannon,2895,2930,3016,3124,3281
Goblin Gang,2184,2580,2630,2628,2687
Tesla,2757,2951,3055,3101,3172
Mortar,2735,2908,3116,3191,3254
Barbarians,2918,3019,3130,3162,3214
Minion Horde,2795,2804,2871,2889,2964
Elite Barbarians,3065,3031,2993,2976,2974
Royal Giant,2776,2780,2921,2962,3069
