Taylor N, bytes, block size, Base, Vectorized, Strided, Consecutive, Strided vectorized
1, 8388608, 256, 20, 21, 54, 55, 55
1, 8388608, 320, 20, 21, 19, 23, 21
1, 8388608, 384, 20, 20, 19, 24, 21
1, 8388608, 448, 20, 21, 19, 21, 21
1, 8388608, 512, 20, 21, 51, 60, 22
1, 8388608, 576, 21, 21, 20, 22, 22
1, 8388608, 640, 21, 20, 20, 21, 22
1, 8388608, 704, 21, 20, 20, 21, 23
1, 8388608, 768, 21, 20, 20, 21, 24
1, 8388608, 832, 21, 21, 20, 21, 24
1, 8388608, 896, 21, 21, 20, 21, 25
1, 8388608, 960, 20, 21, 20, 21, 26
1, 8388608, 1024, 20, 21, 20, 21, 26
1, 16777216, 256, 27, 27, 55, 159, 55
1, 16777216, 320, 28, 27, 27, 108, 26
1, 16777216, 384, 28, 27, 26, 87, 26
1, 16777216, 448, 27, 27, 26, 64, 26
1, 16777216, 512, 27, 27, 64, 45, 33
1, 16777216, 576, 28, 27, 27, 44, 27
1, 16777216, 640, 28, 27, 27, 32, 27
1, 16777216, 704, 29, 27, 27, 33, 27
1, 16777216, 768, 28, 27, 27, 34, 27
1, 16777216, 832, 28, 27, 27, 28, 28
1, 16777216, 896, 28, 28, 27, 29, 29
1, 16777216, 960, 28, 28, 26, 29, 29
1, 16777216, 1024, 27, 28, 26, 32, 30
1, 33554432, 256, 39, 40, 56, 767, 56
1, 33554432, 320, 42, 39, 41, 529, 39
1, 33554432, 384, 41, 39, 40, 443, 39
1, 33554432, 448, 40, 39, 39, 356, 38
1, 33554432, 512, 39, 40, 72, 317, 68
1, 33554432, 576, 41, 39, 40, 259, 38
1, 33554432, 640, 43, 39, 41, 208, 38
1, 33554432, 704, 42, 39, 40, 147, 39
1, 33554432, 768, 41, 39, 39, 173, 39
1, 33554432, 832, 41, 39, 39, 87, 39
1, 33554432, 896, 41, 39, 39, 100, 39
1, 33554432, 960, 40, 39, 39, 67, 38
1, 33554432, 1024, 40, 40, 64, 76, 39
1, 67108864, 256, 68, 65, 66, 2316, 67
1, 67108864, 320, 71, 64, 73, 2153, 67
1, 67108864, 384, 70, 64, 70, 1818, 68
1, 67108864, 448, 69, 64, 68, 1969, 66
1, 67108864, 512, 67, 65, 86, 1614, 82
1, 67108864, 576, 70, 64, 69, 1469, 66
1, 67108864, 640, 73, 64, 72, 1108, 66
1, 67108864, 704, 72, 64, 70, 1038, 65
1, 67108864, 768, 71, 64, 69, 928, 65
1, 67108864, 832, 70, 65, 69, 834, 65
1, 67108864, 896, 70, 65, 68, 718, 65
1, 67108864, 960, 69, 65, 67, 602, 65
1, 67108864, 1024, 69, 65, 99, 660, 65
1, 134217728, 256, 121, 114, 121, 5127, 123
1, 134217728, 320, 129, 112, 135, 5048, 122
1, 134217728, 384, 129, 112, 129, 4667, 124
1, 134217728, 448, 125, 112, 125, 4740, 120
1, 134217728, 512, 120, 112, 121, 4805, 129
1, 134217728, 576, 127, 112, 126, 4973, 120
1, 134217728, 640, 135, 112, 134, 4408, 120
1, 134217728, 704, 134, 112, 130, 4224, 116
1, 134217728, 768, 130, 112, 126, 3746, 117
1, 134217728, 832, 129, 112, 125, 3904, 117
1, 134217728, 896, 127, 113, 124, 4017, 116
1, 134217728, 960, 125, 113, 121, 3569, 117
1, 134217728, 1024, 123, 112, 142, 3413, 131
1, 268435456, 256, 230, 212, 233, 10805, 237
1, 268435456, 320, 246, 212, 263, 10986, 237
1, 268435456, 384, 245, 212, 254, 10777, 241
1, 268435456, 448, 237, 212, 244, 10816, 234
1, 268435456, 512, 228, 212, 237, 10531, 240
1, 268435456, 576, 241, 212, 247, 10520, 229
1, 268435456, 640, 254, 213, 261, 10219, 234
1, 268435456, 704, 253, 212, 250, 9948, 226
1, 268435456, 768, 246, 212, 242, 9497, 227
1, 268435456, 832, 245, 213, 241, 9442, 231
1, 268435456, 896, 242, 213, 239, 9576, 233
1, 268435456, 960, 238, 213, 235, 9688, 234
1, 268435456, 1024, 234, 213, 237, 9947, 239
1, 536870912, 256, 448, 410, 473, 22982, 465
1, 536870912, 320, 479, 414, 527, 22437, 477
1, 536870912, 384, 475, 413, 522, 22021, 486
1, 536870912, 448, 460, 414, 496, 22268, 467
1, 536870912, 512, 446, 415, 479, 22070, 475
1, 536870912, 576, 468, 415, 501, 22018, 454
1, 536870912, 640, 499, 415, 530, 22192, 468
1, 536870912, 704, 496, 415, 503, 22138, 448
1, 536870912, 768, 478, 413, 482, 21973, 447
1, 536870912, 832, 477, 418, 485, 21716, 457
1, 536870912, 896, 469, 418, 481, 21700, 463
1, 536870912, 960, 462, 417, 472, 21714, 463
1, 536870912, 1024, 456, 417, 468, 21776, 465
2, 8388608, 256, 21, 21, 55, 55, 55
2, 8388608, 320, 22, 21, 21, 24, 22
2, 8388608, 384, 22, 21, 21, 24, 22
2, 8388608, 448, 22, 21, 20, 22, 22
2, 8388608, 512, 21, 22, 22, 32, 22
2, 8388608, 576, 22, 22, 21, 22, 23
2, 8388608, 640, 22, 21, 21, 22, 23
2, 8388608, 704, 22, 22, 21, 22, 24
2, 8388608, 768, 22, 22, 21, 22, 25
2, 8388608, 832, 23, 22, 21, 22, 25
2, 8388608, 896, 22, 22, 22, 23, 26
2, 8388608, 960, 22, 22, 22, 23, 26
2, 8388608, 1024, 22, 22, 21, 22, 27
2, 16777216, 256, 28, 28, 55, 159, 56
2, 16777216, 320, 30, 28, 29, 110, 28
2, 16777216, 384, 30, 28, 29, 91, 28
2, 16777216, 448, 30, 28, 28, 67, 28
2, 16777216, 512, 29, 29, 52, 54, 28
2, 16777216, 576, 30, 29, 28, 46, 28
2, 16777216, 640, 31, 29, 29, 32, 29
2, 16777216, 704, 30, 28, 29, 33, 29
2, 16777216, 768, 30, 29, 28, 34, 29
2, 16777216, 832, 32, 29, 28, 30, 30
2, 16777216, 896, 31, 29, 28, 31, 30
2, 16777216, 960, 32, 29, 28, 31, 31
2, 16777216, 1024, 31, 29, 28, 31, 31
2, 33554432, 256, 43, 41, 57, 770, 57
2, 33554432, 320, 46, 41, 46, 535, 41
2, 33554432, 384, 46, 41, 45, 446, 41
2, 33554432, 448, 46, 41, 43, 358, 40
2, 33554432, 512, 44, 41, 74, 319, 49
2, 33554432, 576, 48, 41, 43, 264, 40
2, 33554432, 640, 48, 42, 45, 209, 41
2, 33554432, 704, 46, 41, 43, 148, 41
2, 33554432, 768, 45, 40, 42, 176, 40
2, 33554432, 832, 50, 42, 43, 92, 41
2, 33554432, 896, 50, 42, 43, 104, 42
2, 33554432, 960, 49, 42, 42, 68, 41
2, 33554432, 1024, 49, 42, 43, 73, 41
2, 67108864, 256, 74, 67, 72, 2317, 69
2, 67108864, 320, 79, 68, 79, 2149, 72
2, 67108864, 384, 80, 68, 77, 1824, 71
2, 67108864, 448, 78, 67, 75, 1966, 68
2, 67108864, 512, 75, 67, 91, 1612, 86
2, 67108864, 576, 81, 68, 74, 1477, 69
2, 67108864, 640, 82, 69, 78, 1122, 69
2, 67108864, 704, 79, 68, 75, 1047, 68
2, 67108864, 768, 76, 67, 73, 933, 67
2, 67108864, 832, 87, 69, 74, 837, 67
2, 67108864, 896, 87, 69, 74, 726, 68
2, 67108864, 960, 86, 69, 72, 606, 67
2, 67108864, 1024, 84, 69, 89, 664, 67
2, 134217728, 256, 135, 118, 132, 5135, 126
2, 134217728, 320, 146, 120, 149, 5044, 131
2, 134217728, 384, 146, 119, 144, 4668, 130
2, 134217728, 448, 144, 119, 137, 4744, 123
2, 134217728, 512, 139, 117, 131, 4811, 138
2, 134217728, 576, 150, 120, 137, 4975, 126
2, 134217728, 640, 151, 122, 147, 4410, 126
2, 134217728, 704, 146, 120, 138, 4223, 120
2, 134217728, 768, 141, 119, 132, 3750, 119
2, 134217728, 832, 162, 123, 135, 3911, 120
2, 134217728, 896, 163, 122, 135, 4020, 120
2, 134217728, 960, 159, 121, 132, 3570, 121
2, 134217728, 1024, 156, 121, 151, 3415, 127
2, 268435456, 256, 256, 219, 252, 10824, 243
2, 268435456, 320, 282, 224, 291, 11004, 253
2, 268435456, 384, 282, 224, 279, 10790, 254
2, 268435456, 448, 276, 222, 268, 10840, 238
2, 268435456, 512, 264, 220, 254, 10540, 247
2, 268435456, 576, 288, 226, 265, 10524, 234
2, 268435456, 640, 289, 230, 283, 10226, 246
2, 268435456, 704, 281, 227, 266, 9950, 233
2, 268435456, 768, 269, 222, 254, 9500, 231
2, 268435456, 832, 312, 230, 259, 9443, 235
2, 268435456, 896, 314, 230, 259, 9578, 236
