nti, vs, us, vec, strided, consecutive, vec_for
1, 1000000, 20, 1.050000, 1.000000, 1.050000, 1.400000
1, 2000000, 27, 1.000000, 0.962963, 1.000000, 1.185185
1, 4000000, 39, 0.974359, 0.948718, 1.230769, 1.000000
1, 8000000, 67, 0.940298, 0.985075, 5.955224, 0.925373
1, 16000000, 117, 0.931624, 1.008547, 20.982906, 0.948718
1, 32000000, 222, 0.932432, 1.058559, 39.869370, 0.990991
1, 64000000, 434, 0.903226, 1.066820, 46.585255, 1.018433
2, 1000000, 21, 1.047619, 1.047619, 1.047619, 1.333333
2, 2000000, 30, 0.966667, 0.900000, 0.966667, 1.066667
2, 4000000, 47, 0.872340, 0.872340, 1.063830, 0.872340
2, 8000000, 80, 0.825000, 0.887500, 5.062500, 0.800000
2, 16000000, 149, 0.765101, 0.885906, 16.456375, 0.778524
2, 32000000, 286, 0.758741, 0.912587, 30.919580, 0.790210
2, 64000000, 564, 0.744681, 0.882979, 35.847519, 0.803191
4, 1000000, 24, 1.166667, 1.000000, 1.041667, 1.333333
4, 2000000, 35, 1.057143, 0.971429, 1.000000, 1.142857
4, 4000000, 58, 0.965517, 0.913793, 1.017241, 0.965517
4, 8000000, 103, 0.932039, 0.932039, 4.000000, 0.902913
4, 16000000, 193, 0.917098, 0.917098, 12.761658, 0.844560
4, 32000000, 373, 0.906166, 0.908847, 23.756033, 0.815013
4, 64000000, 734, 0.895095, 0.908719, 27.566757, 0.799727
8, 1000000, 30, 1.333333, 1.000000, 1.033333, 1.566667
8, 2000000, 46, 1.260870, 1.043478, 1.086957, 1.347826
8, 4000000, 80, 1.175000, 1.037500, 1.075000, 1.175000
8, 8000000, 146, 1.171233, 1.068493, 2.924658, 1.116438
8, 16000000, 279, 1.168459, 1.071685, 8.917562, 1.046595
8, 32000000, 545, 1.166973, 1.075229, 16.260550, 1.034862
8, 64000000, 1076, 1.159851, 1.078996, 18.816914, 1.022305
16, 1000000, 45, 1.466667, 1.000000, 1.022222, 1.733333
16, 2000000, 76, 1.315789, 1.039474, 1.065789, 1.421053
16, 4000000, 139, 1.215827, 1.035971, 1.057554, 1.223022
16, 8000000, 264, 1.215909, 1.068182, 1.723485, 1.159091
16, 16000000, 513, 1.218324, 1.076023, 4.957115, 1.083821
16, 32000000, 1010, 1.219802, 1.084158, 8.814852, 1.078218
16, 64000000, 2003, 1.213679, 1.088867, 10.126810, 1.064903
32, 1000000, 75, 1.546667, 1.013333, 1.013333, 1.880000
32, 2000000, 136, 1.352941, 1.051471, 1.058824, 1.477941
32, 4000000, 259, 1.235521, 1.034749, 1.046332, 1.243243
32, 8000000, 504, 1.232143, 1.063492, 1.079365, 1.174603
32, 16000000, 989, 1.236603, 1.072801, 2.670374, 1.097068
32, 32000000, 1958, 1.239019, 1.079673, 4.578652, 1.091931
32, 64000000, 3896, 1.232546, 1.083932, 5.237679, 1.078542
