Taylor N, bytes, block size, Base, Vectorized, Strided, Consecutive, Strided vectorized
1, 8388608, 256, 20, 21, 20, 32, 21
1, 8388608, 320, 21, 20, 19, 24, 21
1, 8388608, 384, 20, 20, 20, 21, 21
1, 8388608, 448, 20, 21, 20, 22, 22
1, 8388608, 512, 20, 21, 19, 22, 23
1, 8388608, 576, 20, 21, 20, 20, 23
1, 8388608, 640, 21, 20, 20, 21, 24
1, 8388608, 704, 21, 20, 20, 21, 24
1, 8388608, 768, 21, 20, 20, 21, 25
1, 8388608, 832, 21, 21, 20, 22, 26
1, 8388608, 896, 21, 21, 20, 22, 26
1, 8388608, 960, 20, 21, 20, 22, 27
1, 8388608, 1024, 20, 21, 21, 22, 28
1, 16777216, 256, 27, 27, 28, 136, 26
1, 16777216, 320, 28, 27, 27, 82, 26
1, 16777216, 384, 28, 27, 27, 64, 26
1, 16777216, 448, 27, 27, 26, 44, 27
1, 16777216, 512, 27, 28, 26, 51, 27
1, 16777216, 576, 28, 27, 27, 34, 27
1, 16777216, 640, 28, 28, 28, 32, 27
1, 16777216, 704, 29, 27, 27, 29, 28
1, 16777216, 768, 28, 27, 27, 29, 28
1, 16777216, 832, 28, 28, 27, 29, 29
1, 16777216, 896, 28, 28, 27, 30, 30
1, 16777216, 960, 27, 28, 26, 30, 31
1, 16777216, 1024, 27, 28, 27, 30, 32
1, 33554432, 256, 39, 40, 43, 692, 39
1, 33554432, 320, 41, 39, 40, 431, 39
1, 33554432, 384, 41, 39, 41, 353, 38
1, 33554432, 448, 40, 39, 40, 327, 38
1, 33554432, 512, 40, 39, 39, 266, 38
1, 33554432, 576, 41, 39, 40, 225, 39
1, 33554432, 640, 43, 38, 42, 152, 38
1, 33554432, 704, 43, 39, 40, 95, 39
1, 33554432, 768, 41, 39, 40, 113, 39
1, 33554432, 832, 41, 39, 40, 65, 38
1, 33554432, 896, 41, 39, 39, 68, 38
1, 33554432, 960, 41, 40, 39, 72, 39
1, 33554432, 1024, 41, 40, 39, 76, 40
1, 67108864, 256, 68, 65, 73, 2455, 67
1, 67108864, 320, 71, 64, 71, 1874, 66
1, 67108864, 384, 70, 64, 73, 1936, 67
1, 67108864, 448, 69, 64, 70, 1633, 66
1, 67108864, 512, 67, 65, 68, 1487, 65
1, 67108864, 576, 70, 64, 71, 1141, 66
1, 67108864, 640, 73, 64, 72, 864, 65
1, 67108864, 704, 72, 64, 71, 821, 65
1, 67108864, 768, 71, 64, 69, 711, 65
1, 67108864, 832, 71, 65, 69, 582, 65
1, 67108864, 896, 70, 65, 69, 672, 64
1, 67108864, 960, 70, 65, 68, 488, 64
1, 67108864, 1024, 69, 65, 68, 537, 64
1, 134217728, 256, 121, 114, 139, 5514, 123
1, 134217728, 320, 130, 112, 131, 4813, 121
1, 134217728, 384, 129, 112, 138, 4678, 123
1, 134217728, 448, 125, 112, 130, 4775, 119
1, 134217728, 512, 121, 113, 127, 5005, 121
1, 134217728, 576, 127, 112, 131, 4221, 119
1, 134217728, 640, 135, 112, 134, 3847, 119
1, 134217728, 704, 134, 112, 130, 3867, 115
1, 134217728, 768, 130, 112, 126, 3898, 115
1, 134217728, 832, 129, 112, 127, 3525, 116
1, 134217728, 896, 127, 112, 125, 3332, 115
1, 134217728, 960, 126, 113, 123, 3340, 115
1, 134217728, 1024, 124, 113, 126, 3055, 115
1, 268435456, 256, 230, 212, 268, 11186, 238
1, 268435456, 320, 247, 212, 257, 10792, 235
1, 268435456, 384, 245, 212, 267, 10739, 238
1, 268435456, 448, 237, 212, 253, 10908, 234
1, 268435456, 512, 229, 212, 247, 11654, 251
1, 268435456, 576, 241, 212, 254, 9850, 233
1, 268435456, 640, 254, 212, 263, 9838, 232
1, 268435456, 704, 253, 212, 252, 9367, 226
1, 268435456, 768, 247, 212, 244, 9391, 228
1, 268435456, 832, 245, 214, 245, 9562, 232
1, 268435456, 896, 242, 213, 241, 9671, 233
